customer_id,first_name,last_name,gender,age,email,phone,city,state,join_date
1,Rishi,Goyal,Male,49,rishi.goyal1@example.com,+918045285091,Kolkata,West Bengal,2024-03-09
2,Chandani,Basak,Female,53,chandani.basak2@example.com,+914105651484,Chennai,Tamil Nadu,2026-05-08
3,Hema,Bajaj,Female,67,hema.bajaj3@example.com,+915172500233,Lakhnau,Uttar Pradesh,2025-02-02
4,Vrishti,Shankar,Female,54,vrishti.shankar4@example.com,+919527293752,Surat,Gujarat,2025-06-11
5,Darsh,Pandit,Male,65,darsh.pandit5@example.com,+918042875842,New Delhi,Delhi,2024-05-17
6,Fiyaz,Mander,Male,31,fiyaz.mander6@example.com,+915933634681,New Delhi,Delhi,2023-10-27
7,Karan,Parsa,Male,44,karan.parsa7@example.com,+912819121427,Bengaluru,Karnataka,2024-10-04
8,Aashi,Bhardwaj,Female,36,aashi.bhardwaj8@example.com,+912273911108,Kolkata,West Bengal,2026-06-04
9,Sai,Mani,Female,48,sai.mani9@example.com,+917437293263,Surat,Gujarat,2024-04-15
10,Alka,Dhar,Female,63,alka.dhar10@example.com,+918966236457,Varanasi,Uttar Pradesh,2024-07-18
11,Siddharth,Kala,Male,26,siddharth.kala11@example.com,+911674271420,Hyderabad,Telangana,2024-02-13
12,Odika,Nayar,Female,55,odika.nayar12@example.com,+918290441018,New Delhi,Delhi,2026-01-14
13,Harita,Chatterjee,Female,34,harita.chatterjee13@example.com,+916949833259,Warangal,Telangana,2024-04-03
14,Vivaan,Chander,Male,36,vivaan.chander14@example.com,+911175140966,Kolkata,West Bengal,2025-09-10
15,Gavin,Sant,Male,61,gavin.sant15@example.com,+919544721538,Varanasi,Uttar Pradesh,2026-07-11
16,Jagdish,Gala,Male,21,jagdish.gala16@example.com,+914474421841,Surat,Gujarat,2025-06-09
17,Tanish,Rau,Male,65,tanish.rau17@example.com,+915188366094,Mumbai,Maharashtra,2025-07-31
18,Barkha,Brahmbhatt,Female,28,barkha.brahmbhatt18@example.com,+916680139883,Kolkata,West Bengal,2024-04-20
19,Darpan,Borde,Male,39,darpan.borde19@example.com,+913730201396,New Delhi,Delhi,2024-02-17
20,Gaurang,Sura,Male,21,gaurang.sura20@example.com,+912995654493,Howrah,West Bengal,2024-06-10
21,Vasatika,Ray,Female,34,vasatika.ray21@example.com,+919484295303,Kanpur,Uttar Pradesh,2024-04-13
22,Gautam,Mannan,Male,25,gautam.mannan22@example.com,+914918244529,Howrah,West Bengal,2025-07-28
23,Thomas,Sur,Male,63,thomas.sur23@example.com,+916077447044,Mumbai,Maharashtra,2026-02-01
24,George,Majumdar,Male,51,george.majumdar24@example.com,+916467429709,Kolkata,West Bengal,2024-10-02
25,Zayan,Chanda,Male,28,zayan.chanda25@example.com,+917916181499,Kanpur,Uttar Pradesh,2024-03-26
26,Yauvani,Gupta,Female,48,yauvani.gupta26@example.com,+917253437331,Pune,Maharashtra,2025-03-23
27,Elijah,Bakshi,Male,28,elijah.bakshi27@example.com,+910699641457,Mysuru,Karnataka,2024-11-14
28,Isha,Soman,Female,55,isha.soman28@example.com,+912881605343,New Delhi,Delhi,2026-02-25
29,Mitali,Chana,Female,38,mitali.chana29@example.com,+918640933003,Delhi,Delhi,2025-05-10
30,Samesh,Mishra,Male,63,samesh.mishra30@example.com,+912617518931,Madurai,Tamil Nadu,2023-08-10
31,Mugdha,Nagarajan,Female,47,mugdha.nagarajan31@example.com,+911792865195,Hubballi,Karnataka,2025-01-21
32,Manbir,Muni,Male,27,manbir.muni32@example.com,+912588820850,Bengaluru,Karnataka,2025-07-03
33,Madhav,Dani,Male,43,madhav.dani33@example.com,+914466056382,Lakhnau,Uttar Pradesh,2025-12-15
34,Sneha,Sem,Female,44,sneha.sem34@example.com,+919988398786,Warangal,Telangana,2025-11-20
35,Vidhi,Bora,Female,25,vidhi.bora35@example.com,+915965461820,Kolkata,West Bengal,2026-05-13
36,Aarna,Apte,Female,56,aarna.apte36@example.com,+918789919573,Noida,Uttar Pradesh,2025-02-26
37,Yuvraj,Sandal,Male,25,yuvraj.sandal37@example.com,+913996049030,Madurai,Tamil Nadu,2025-10-04
38,Dev,Shankar,Male,25,dev.shankar38@example.com,+917430807811,Howrah,West Bengal,2025-11-04
39,Bhanumati,Chand,Female,51,bhanumati.chand39@example.com,+918783004148,Warangal,Telangana,2024-05-30
40,Ansh,Kunda,Male,33,ansh.kunda40@example.com,+911419555390,New Delhi,Delhi,2025-11-22
41,Gaurav,Dutta,Male,58,gaurav.dutta41@example.com,+918653289879,Nagpur,Maharashtra,2025-09-16
42,Ekbal,Merchant,Male,30,ekbal.merchant42@example.com,+911647120466,New Delhi,Delhi,2026-02-13
43,Harish,Sarin,Male,40,harish.sarin43@example.com,+911362224604,Mysuru,Karnataka,2025-05-25
44,Deepa,Yogi,Female,29,deepa.yogi44@example.com,+919966752417,Delhi,Delhi,2024-02-09
45,Samaksh,Bumb,Male,44,samaksh.bumb45@example.com,+917336568332,Howrah,West Bengal,2024-06-26
46,Amrita,Rai,Female,39,amrita.rai46@example.com,+912608061853,Ahmedabad,Gujarat,2026-04-19
47,Owen,Maharaj,Male,49,owen.maharaj47@example.com,+914383177864,Ahmedabad,Gujarat,2023-10-12
48,Aahana,Dewan,Female,66,aahana.dewan48@example.com,+910030537805,Kanpur,Uttar Pradesh,2024-01-16
